,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
650,Fabrikörvägen 10D,NackaStrand,Nack,Lägenhet,Bostadsrätt,3,4,8,Yes,Yes,72.0,0.0,0.0,2011-present,6408.0,6360.0,,5.8,-0.1,5.89
651,"Vegagatan 13, 3 tr",Vasastan,Stockholm,Lägenhet,Bostadsrätt,4,3,4,Yes,Yes,106.0,0.0,0.0,Before 1900s,5446.0,6360.0,,12.45,0.75,11.7
652,Vikingavägen 71A,Granlo,Sundsvall,Lägenhet,Bostadsrätt,2,3,3,No,Yes,68.5,0.0,0.0,1951-2000,5070.0,6360.0,,1.1,-0.13,1.22
653,Solhagagatan 50,HisingsKärra,Göteborg,Lägenhet,Bostadsrätt,1,1,2,No,Yes,39.6,0.0,0.0,1951-2000,3240.0,5700.0,,1.15,-0.01,1.16
654,Kallskärsgatan 5 - 4 tr,Östermalm/NedreGärdet,Stockholm,Lägenhet,Bostadsrätt,3,4,0,Yes,Yes,90.0,0.0,0.0,1900-1950,4724.0,2208.0,,10.0,0.91,9.09
655,Kometvägen 41,Grindtorp,Täb,Lägenhet,Bostadsrätt,3,2,3,No,Yes,81.0,0.0,0.0,1951-2000,5218.0,6600.0,,2.6,0.21,2.39
656,"Erik Dahlbergsgatan 71, 6 tr",NedreGärdet,Stockholm,Lägenhet,Bostadsrätt,4,6,7,Yes,Yes,106.0,0.0,0.0,1951-2000,4860.0,10500.0,,11.0,0.66,10.34
657,"Odengatan 18, 2 tr",VasastanÖstermalm,Stockholm,Lägenhet,Bostadsrätt,3,2,0,No,Yes,64.0,0.0,0.0,2011-present,2594.0,6360.0,,7.5,1.13,6.37
658,Birkagatan 17A,Vasastan,Stockholm,Lägenhet,Bostadsrätt,1,1,0,No,Yes,35.0,0.0,0.0,1900-1950,1804.0,4200.0,,3.9,0.48,3.42
659,Åkerbyvägen 86 vån 5,TäbyCentrum,Täb,Lägenhet,Bostadsrätt,2,5,16,Yes,Yes,68.0,0.0,0.0,1951-2000,4134.0,6360.0,,2.4,0.26,2.14
660,Norrsvängen 2B,Valla,Linköping,Lägenhet,Bostadsrätt,2,1,4,No,Yes,55.5,0.0,0.0,1951-2000,4129.0,17196.0,,1.5,-0.05,1.54
661,Vitlöksgränd 9,Farmarstigen,Tyres,Lägenhet,Bostadsrätt,2,4,4,Yes,No,50.5,0.0,0.0,1951-2000,3918.0,5202.0,,1.7,0.01,1.69
662,Dalstigen 12C,Karlsdal,Värnam,Lägenhet,Bostadsrätt,3,1,0,No,Yes,88.0,0.0,0.0,1951-2000,5804.0,7200.0,,1.8,-0.05,1.84
